venue_id,venue,city,state,country
MA01,Wankhede Stadium,Mumbai,Maharashtra,India
DE01,Arun Jaitley Stadium,Delhi,Delhi,India
MA02,Maharashtra Cricket Association Stadium,Pune,Maharashtra,India
GU01,Narendra Modi Stadium,Ahmedabad,Gujarat,India
TE01,Rajiv Gandhi International Stadium,Hyderabad,Telangana,India
TN01,MA Chidambaram Stadium,Chennai,Tamil Nadu,India
UP01,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Uttar Pradesh,India
HP01,Himachal Pradesh Cricket Association Stadium,Dharamsala,Himachal Pradesh,India
KA01,M Chinnaswamy Stadium,Bengaluru,Karnataka,India
WE01,Eden Gardens,Kolkatta,West Bengal,India